BOL_Number,Carrier,Forwarder,Customer,Commodity,Container_Type,Num_Containers,POL,POD,Incoterms,ETD,ETA,Actual_Arrival,Transit_Days,Delay_Days,On_Time_Delivery,Delay_Reason,Freight_Rate_USD,Total_Freight_USD,Cargo_Weight_KG,Cargo_Value_USD,Shipment_Status
BOL000014,COSCO,CEVA Logistics,Reitmans,Apparel,45HC,3,Shenzhen,Seattle,FOB,2022-08-12,2022-09-10,2022-09-10,29,0,Yes,None,2360.96,7082.88,34219.61,132405.16,Delivered
BOL000015,Hapag-Lloyd,Nippon Express,Indigo Books,Toys,45HC,4,Shanghai,Miami,EXW,2022-07-11,2022-08-09,2022-08-09,29,0,Yes,None,3999.21,15996.84,103024.74,90672.19,Delivered
BOL000016,ZIM,CEVA Logistics,Hudson Bay,Textiles,20GP,10,Shanghai,Halifax,CFR,2022-11-14,2022-12-10,2022-12-10,26,0,Yes,None,3522.23,35222.3,64020.24,163666.36,Delivered
BOL000017,HMM,Kuehne+Nagel,Aldo Group,Steel Products,20RF,2,Kaohsiung,New York,FOB,2024-11-06,2024-11-25,2024-11-25,19,0,Yes,None,3298.29,6596.58,20819.38,68744.44,Delivered
BOL000018,ONE,Kuehne+Nagel,Giant Tiger,Apparel,40RF,6,Singapore,Seattle,FOB,2024-05-08,2024-06-11,2024-06-11,34,0,Yes,None,1683.14,10098.84,84618.45,339128.21,Delivered
BOL000019,HMM,DSV,Reitmans,Textiles,40HC,2,Colombo,Chicago,FOB,2022-05-31,2022-06-27,2022-06-27,27,0,Yes,None,4053.3,8106.6,26998.25,87295.95,Delivered
BOL000020,Hapag-Lloyd,CEVA Logistics,Loblaws,Textiles,20GP,9,Hong Kong,New York,DAP,2022-08-01,2022-08-23,2022-08-23,22,0,Yes,None,1375.16,12376.44,103323.55,113208.53,Delivered
BOL000021,Yang Ming,Kuehne+Nagel,Best Buy Canada,Textiles,20GP,6,Hamburg,Montreal,FOB,2022-07-09,2022-08-19,2022-08-19,41,0,Yes,None,3653.14,21918.84,117921.65,138358.08,Delivered
BOL000022,Evergreen,Panalpina,Best Buy Canada,Auto Parts,20RF,3,Shanghai,Houston,DDP,2022-11-02,2022-11-18,2022-11-18,16,0,Yes,None,2390.21,7170.63,17886.19,188679.24,Delivered
BOL000023,Hapag-Lloyd,Sinotrans,Best Buy Canada,Furniture,40GP,7,Rotterdam,New York,DDP,2024-04-12,2024-05-05,2024-05-20,23,15,No,Customs Inspection,891.71,6241.97,153586.88,172770.88,Delayed
BOL000024,Yang Ming,DSV,Home Depot Canada,Chemicals,45HC,6,Shanghai,New York,EXW,2022-03-21,2022-05-04,2022-05-04,44,0,Yes,None,1929.21,11575.26,139757.68,121521.79,Delivered
BOL000025,MSC,Panalpina,Mountain Equipment,Steel Products,40HC,1,Singapore,Toronto,DAP,2023-12-21,2024-01-29,2024-02-09,39,11,No,Documentation Error,1226.76,1226.76,27319.21,97498.23,Delayed
BOL000026,ONE,Panalpina,Shoppers Drug Mart,Food Products,40GP,5,Colombo,New York,FOB,2024-06-12,2024-07-03,2024-07-03,21,0,Yes,None,964.23,4821.15,75146.61,264760.97,Delivered
BOL000027,CMA CGM,Sinotrans,Empire Company,Steel Products,45HC,6,Rotterdam,Miami,CFR,2022-09-13,2022-10-16,2022-10-16,33,0,Yes,None,2288.88,13733.28,70800.42,72371.02,Delivered
BOL000028,ZIM,DSV,Home Depot Canada,Furniture,20RF,10,Busan,Montreal,DDP,2022-01-01,2022-02-03,2022-02-03,33,0,Yes,None,3222.41,32224.1,156947.28,226658.3,Delivered
BOL000029,HMM,Expeditors,Indigo Books,Apparel,40GP,5,Busan,Seattle,DAP,2024-11-21,2024-12-26,2024-12-26,35,0,Yes,None,1631.17,8155.85,47899.94,21968.44,Delivered
BOL000030,CMA CGM,Expeditors,Canadian Tire,Textiles,40RF,1,Rotterdam,New York,DAP,2024-02-26,2024-04-11,2024-04-11,45,0,Yes,None,4102.84,4102.84,24790.13,443877.95,Delivered
BOL000031,COSCO,DB Schenker,Giant Tiger,Food Products,40RF,9,Hamburg,Halifax,CFR,2022-09-06,2022-10-19,2022-10-19,43,0,Yes,None,4455.2,40096.8,168258.63,475519.41,Delivered
BOL000032,MSC,Panalpina,Loblaws,Machinery,40RF,5,Singapore,Seattle,CIF,2024-08-30,2024-10-11,2024-10-11,42,0,Yes,None,3633.51,18167.55,84949.48,317106.73,Delivered
BOL000033,Yang Ming,Sinotrans,Indigo Books,Electronics,45HC,3,Colombo,Seattle,CIF,2023-10-17,2023-11-05,2023-11-05,19,0,Yes,None,3413.75,10241.25,19431.79,209723.69,Delivered
BOL000034,COSCO,Expeditors,Sobeys,Steel Products,40HC,5,Rotterdam,Montreal,CIF,2022-02-10,2022-03-20,2022-03-20,38,0,Yes,None,3587.86,17939.3,123146.51,477180.87,Delivered
BOL000035,Maersk,CEVA Logistics,Groupe Touchette,Food Products,40HC,7,Kaohsiung,Montreal,CFR,2023-07-13,2023-08-23,2023-08-23,41,0,Yes,None,3479.47,24356.29,170321.41,460575.39,Delivered
BOL000036,Hapag-Lloyd,Nippon Express,Home Depot Canada,Food Products,40GP,1,Hong Kong,Miami,EXW,2022-06-21,2022-08-01,2022-08-01,41,0,Yes,None,1762.58,1762.58,12529.11,232802.67,Delivered
BOL000037,CMA CGM,Kuehne+Nagel,Sobeys,Auto Parts,20GP,1,Shanghai,Halifax,CIF,2022-02-09,2022-02-26,2022-02-26,17,0,Yes,None,3590.66,3590.66,26841.07,107686.73,Delivered
BOL000038,MSC,Sinotrans,Empire Company,Steel Products,40HC,3,Ningbo,Chicago,FOB,2023-03-23,2023-05-05,2023-05-05,43,0,Yes,None,3041.8,9125.4,81497.7,361995.04,Delivered
BOL000039,HMM,Sinotrans,Reitmans,Electronics,40RF,4,Kaohsiung,Vancouver,EXW,2024-03-23,2024-04-18,2024-04-18,26,0,Yes,None,1177.03,4708.12,91068.24,426643.69,Delivered
BOL000040,Yang Ming,DSV,Metro Inc,Furniture,20GP,7,Hamburg,Los Angeles,DDP,2024-01-29,2024-02-16,2024-02-16,18,0,Yes,None,3842.62,26898.34,51991.76,480785.91,Delivered
BOL000041,Evergreen,Sinotrans,Aldo Group,Toys,20RF,5,Singapore,Seattle,CFR,2024-09-17,2024-10-30,2024-10-30,43,0,Yes,None,1992.53,9962.65,53231.94,467964.72,Delivered
BOL000042,COSCO,Kuehne+Nagel,Costco Canada,Electronics,40GP,8,Kaohsiung,Chicago,CFR,2023-11-20,2023-12-05,2023-12-05,15,0,Yes,None,1584.84,12678.72,186801.15,176766.03,Delivered
BOL000043,Evergreen,DSV,IKEA Canada,Food Products,40GP,8,Shenzhen,Chicago,DDP,2023-05-10,2023-06-19,2023-06-19,40,0,Yes,None,3189.84,25518.72,130311.13,398537.11,Delivered
BOL000044,MSC,DB Schenker,Best Buy Canada,Auto Parts,45HC,9,Singapore,New York,EXW,2024-01-26,2024-03-10,2024-03-10,44,0,Yes,None,2023.93,18215.37,190490.97,142749.05,Delivered
BOL000045,Hapag-Lloyd,DSV,Hudson Bay,Auto Parts,40RF,10,Shenzhen,New York,EXW,2023-01-28,2023-02-24,2023-02-24,27,0,Yes,None,4413.45,44134.5,170666.48,148669.36,Delivered
BOL000046,Maersk,Nippon Express,Sobeys,Steel Products,20GP,9,Hamburg,Vancouver,EXW,2022-01-29,2022-02-20,2022-02-20,22,0,Yes,None,1880.91,16928.19,240426.55,322556.13,Delivered
BOL000047,CMA CGM,Expeditors,Home Depot Canada,Steel Products,45HC,2,Shanghai,Los Angeles,EXW,2024-06-21,2024-07-26,2024-07-29,35,3,No,Bad Weather,3841.83,7683.66,28432.54,46300.26,Delivered
BOL000048,Yang Ming,CEVA Logistics,Aldo Group,Machinery,20RF,4,Singapore,Halifax,CFR,2022-08-31,2022-10-10,2022-10-10,40,0,Yes,None,3670.07,14680.28,54994.78,455167.15,Delivered
BOL000049,ZIM,CEVA Logistics,Empire Company,Steel Products,40RF,2,Shanghai,Miami,DAP,2022-07-23,2022-08-19,2022-08-19,27,0,Yes,None,1381.11,2762.22,17995.42,46781.79,Delivered
BOL000050,Yang Ming,DB Schenker,IKEA Canada,Apparel,45HC,2,Kaohsiung,New York,CFR,2023-04-20,2023-05-22,2023-05-22,32,0,Yes,None,3343.32,6686.64,52499.91,396035.73,Delivered
BOL000051,Hapag-Lloyd,Nippon Express,Metro Inc,Food Products,40HC,10,Shenzhen,Seattle,EXW,2023-06-29,2023-07-22,2023-07-22,23,0,Yes,None,3571.14,35711.4,180917.62,151419.19,Delivered
BOL000052,Maersk,DB Schenker,Canadian Tire,Machinery,45HC,6,Kaohsiung,Halifax,CFR,2024-06-15,2024-07-04,2024-07-04,19,0,Yes,None,3033.74,18202.44,33569.36,122172.96,Delivered
BOL000053,ONE,DB Schenker,Best Buy Canada,Chemicals,20RF,7,Hong Kong,Miami,DDP,2024-08-21,2024-10-02,2024-10-02,42,0,Yes,None,3148.7,22040.9,114167.85,54708.78,Delivered
BOL000054,ONE,CEVA Logistics,Metro Inc,Apparel,40RF,7,Hong Kong,Chicago,DAP,2023-11-07,2023-12-17,2023-12-17,40,0,Yes,None,3810.19,26671.33,123565.55,232864.7,Delivered
BOL000055,COSCO,Nippon Express,Giant Tiger,Furniture,40HC,10,Busan,Chicago,EXW,2024-08-04,2024-09-13,2024-09-13,40,0,Yes,None,3598.84,35988.4,193844.01,382395.36,Delivered
BOL000056,ZIM,Nippon Express,Loblaw Companies,Apparel,40GP,3,Busan,Vancouver,DDP,2022-09-06,2022-09-21,2022-09-21,15,0,Yes,None,1949.78,5849.34,15943.54,209915.44,Delivered
BOL000057,CMA CGM,Panalpina,Indigo Books,Apparel,45HC,4,Kaohsiung,Montreal,EXW,2023-08-21,2023-09-21,2023-09-21,31,0,Yes,None,2490.11,9960.44,33307.06,103399.08,Delivered
BOL000058,COSCO,Sinotrans,Shoppers Drug Mart,Toys,40RF,5,Ningbo,Seattle,EXW,2024-11-05,2024-12-06,2024-12-06,31,0,Yes,None,3898.66,19493.3,91691.19,333370.97,Delivered
BOL000059,ZIM,Nippon Express,Loblaw Companies,Food Products,40RF,4,Shanghai,Houston,DAP,2024-07-21,2024-08-24,2024-08-24,34,0,Yes,None,2915.65,11662.6,41487.75,390016.79,Delivered
BOL000060,CMA CGM,Panalpina,Loblaws,Apparel,20GP,8,Ningbo,Miami,DAP,2022-03-17,2022-04-08,2022-04-17,22,9,No,Bad Weather,1168.93,9351.44,207521.27,17520.32,Delayed
BOL000061,Maersk,DSV,IKEA Canada,Steel Products,40RF,9,Hamburg,Montreal,FOB,2024-03-25,2024-04-13,2024-04-13,19,0,Yes,None,2206.03,19854.27,110548.86,362171.54,Delivered
BOL000062,ONE,Expeditors,Loblaw Companies,Chemicals,45HC,3,Shanghai,Chicago,DAP,2023-04-11,2023-04-30,2023-05-07,19,7,No,Port Congestion,3367.8,10103.4,77336.26,32535.57,Delayed
BOL000063,HMM,DSV,Giant Tiger,Furniture,40GP,3,Busan,Seattle,CIF,2024-12-23,2025-02-01,2025-02-01,40,0,Yes,None,1447.76,4343.28,57054.93,197446.71,In Transit
BOL000064,Hapag-Lloyd,Nippon Express,Loblaws,Food Products,45HC,5,Hong Kong,Halifax,DDP,2024-07-30,2024-08-29,2024-08-29,30,0,Yes,None,3307.16,16535.8,43167.2,226447.59,Delivered
BOL000065,Yang Ming,CEVA Logistics,Groupe Touchette,Machinery,20GP,4,Singapore,Toronto,FOB,2023-09-11,2023-10-07,2023-10-07,26,0,Yes,None,2211.05,8844.2,53024.24,154977.47,Delivered
BOL000066,Maersk,Panalpina,Canadian Tire,Machinery,20RF,6,Ningbo,Vancouver,DAP,2024-10-14,2024-11-15,2024-11-15,32,0,Yes,None,1610.32,9661.92,56238.21,132807.13,Delivered
BOL000067,COSCO,Nippon Express,Loblaws,Machinery,40RF,7,Hong Kong,Montreal,CIF,2022-09-27,2022-10-16,2022-10-16,19,0,Yes,None,1449.87,10149.09,56277.73,274309.8,Delivered
BOL000068,ONE,DSV,Walmart Canada,Apparel,20GP,3,Rotterdam,Montreal,DAP,2023-08-28,2023-10-02,2023-10-02,35,0,Yes,None,3590.36,10771.08,30567.41,341398.63,Delivered
BOL000069,ZIM,Panalpina,Reitmans,Electronics,40RF,5,Shenzhen,New York,CFR,2022-09-11,2022-10-24,2022-10-24,43,0,Yes,None,2962.87,14814.35,119577.99,470743.03,Delivered
BOL000070,ZIM,DB Schenker,IKEA Canada,Apparel,40RF,5,Shanghai,Chicago,FOB,2023-03-30,2023-04-17,2023-04-17,18,0,Yes,None,3202.19,16010.95,38417.73,32219.94,Delivered
BOL000071,ZIM,CEVA Logistics,Loblaws,Steel Products,40RF,9,Rotterdam,Vancouver,DAP,2024-03-06,2024-04-18,2024-04-18,43,0,Yes,None,2350.77,21156.93,198649.69,85716.22,Delivered
BOL000072,Yang Ming,Nippon Express,Best Buy Canada,Machinery,40GP,6,Hong Kong,Toronto,CIF,2024-01-29,2024-02-25,2024-02-25,27,0,Yes,None,1167.61,7005.66,124623.88,276788.27,Delivered
BOL000073,MSC,Expeditors,Groupe Touchette,Textiles,20GP,1,Kaohsiung,New York,CIF,2022-07-07,2022-08-03,2022-08-03,27,0,Yes,None,3711.14,3711.14,10602.08,71702.7,Delivered
BOL000074,CMA CGM,DB Schenker,Walmart Canada,Apparel,20RF,1,Colombo,Chicago,DDP,2023-04-23,2023-05-28,2023-05-28,35,0,Yes,None,1825.92,1825.92,27632.65,493888.38,Delivered
BOL000075,MSC,Panalpina,Giant Tiger,Apparel,20RF,6,Rotterdam,Montreal,DAP,2022-01-31,2022-03-08,2022-03-08,36,0,Yes,None,858.39,5150.34,66620.72,72111.69,Delivered
BOL000076,Maersk,Sinotrans,Sport Chek,Electronics,20RF,1,Singapore,Seattle,DAP,2024-11-17,2024-12-07,2024-12-07,20,0,Yes,None,3490.8,3490.8,25901.29,332862.51,Delivered
BOL000077,ONE,DSV,Metro Inc,Food Products,20GP,6,Kaohsiung,Montreal,CFR,2022-08-10,2022-09-24,2022-10-06,45,12,No,Port Congestion,3050.7,18304.2,39064.15,144757.84,Delayed
BOL000078,ONE,Kuehne+Nagel,Indigo Books,Toys,20GP,9,Busan,Miami,DAP,2024-07-18,2024-08-28,2024-08-28,41,0,Yes,None,3467.11,31203.99,89509.77,231261.91,Delivered
BOL000079,Yang Ming,DB Schenker,Mountain Equipment,Apparel,40HC,3,Shenzhen,Vancouver,DDP,2023-10-03,2023-11-13,2023-11-13,41,0,Yes,None,3341.24,10023.72,47724.48,54700.15,Delivered
BOL000080,ONE,Expeditors,Metro Inc,Apparel,40HC,7,Kaohsiung,Chicago,CFR,2022-05-03,2022-06-07,2022-06-07,35,0,Yes,None,4011.94,28083.58,151090.77,484515.33,Delivered
BOL000081,HMM,CEVA Logistics,Reitmans,Steel Products,40HC,9,Rotterdam,Montreal,DDP,2022-11-13,2022-12-27,2022-12-27,44,0,Yes,None,2159.98,19439.82,202859.37,291309.0,Delivered
BOL000082,CMA CGM,Expeditors,Metro Inc,Electronics,40HC,6,Rotterdam,Vancouver,FOB,2023-07-02,2023-07-17,2023-07-17,15,0,Yes,None,2098.79,12592.74,55033.97,80193.23,Delivered
BOL000083,CMA CGM,Kuehne+Nagel,Canadian Tire,Furniture,40HC,5,Shenzhen,Toronto,CFR,2024-02-10,2024-03-21,2024-03-21,40,0,Yes,None,3469.91,17349.55,114336.1,288120.84,Delivered
BOL000084,MSC,Nippon Express,Groupe Touchette,Machinery,20RF,8,Hong Kong,Miami,DDP,2023-07-12,2023-08-23,2023-08-23,42,0,Yes,None,2332.48,18659.84,79664.69,261049.69,Delivered
BOL000085,Hapag-Lloyd,Nippon Express,Walmart Canada,Chemicals,20RF,1,Ningbo,Chicago,FOB,2024-12-15,2025-01-17,2025-01-17,33,0,Yes,None,828.44,828.44,11932.65,113504.65,In Transit
BOL000086,Maersk,Kuehne+Nagel,Giant Tiger,Food Products,40RF,4,Shenzhen,Miami,FOB,2024-05-31,2024-06-25,2024-06-25,25,0,Yes,None,2650.97,10603.88,96668.59,405038.09,Delivered
BOL000087,ZIM,Kuehne+Nagel,Indigo Books,Chemicals,40RF,7,Ningbo,Halifax,FOB,2023-10-04,2023-11-14,2023-11-14,41,0,Yes,None,1871.21,13098.47,100210.2,483437.85,Delivered
BOL000088,COSCO,Expeditors,Metro Inc,Apparel,20GP,7,Ningbo,Vancouver,CFR,2023-05-14,2023-06-24,2023-06-24,41,0,Yes,None,4020.94,28146.58,155074.58,118570.31,Delivered
BOL000089,ZIM,Nippon Express,Groupe Touchette,Toys,40GP,2,Shenzhen,Los Angeles,CFR,2023-12-17,2024-01-22,2024-02-03,36,12,No,Customs Inspection,1341.84,2683.68,19074.5,305175.5,Delayed
BOL000090,MSC,CEVA Logistics,Giant Tiger,Machinery,45HC,8,Hong Kong,Montreal,DAP,2023-10-24,2023-11-27,2023-11-27,34,0,Yes,None,3136.12,25088.96,186524.66,299795.68,Delivered
BOL000091,ZIM,Panalpina,Costco Canada,Steel Products,40RF,2,Colombo,Toronto,DDP,2022-04-27,2022-06-03,2022-06-03,37,0,Yes,None,3075.53,6151.06,33325.12,236728.71,Delivered
BOL000092,COSCO,Panalpina,Hudson Bay,Textiles,40HC,2,Hamburg,Seattle,CFR,2024-09-01,2024-09-24,2024-09-24,23,0,Yes,None,2666.83,5333.66,17937.71,131394.42,Delivered
BOL000093,COSCO,DB Schenker,Loblaws,Food Products,40HC,10,Hong Kong,Vancouver,EXW,2024-02-03,2024-03-06,2024-03-06,32,0,Yes,None,993.75,9937.5,195103.91,173978.18,Delivered
BOL000094,Hapag-Lloyd,DB Schenker,Shoppers Drug Mart,Textiles,40HC,5,Kaohsiung,Vancouver,DAP,2023-11-14,2023-12-03,2023-12-03,19,0,Yes,None,4380.48,21902.4,105325.2,202059.41,Delivered
BOL000095,Evergreen,Kuehne+Nagel,Loblaw Companies,Auto Parts,20RF,6,Hong Kong,Seattle,CIF,2024-12-14,2025-01-02,2025-01-02,19,0,Yes,None,867.45,5204.7,72623.52,476072.96,In Transit
BOL000096,Yang Ming,DB Schenker,Hudson Bay,Furniture,40RF,9,Ningbo,Halifax,CIF,2023-08-29,2023-09-18,2023-09-18,20,0,Yes,None,939.67,8457.03,114710.22,385490.73,Delivered
BOL000097,COSCO,Expeditors,Sobeys,Auto Parts,40RF,4,Hamburg,New York,EXW,2024-06-15,2024-07-01,2024-07-01,16,0,Yes,None,4387.48,17549.92,76174.78,378671.67,Delivered
BOL000098,Hapag-Lloyd,Panalpina,Sobeys,Electronics,45HC,9,Kaohsiung,Los Angeles,DDP,2024-01-24,2024-03-06,2024-03-06,42,0,Yes,None,2751.6,24764.4,245017.51,410276.71,Delivered
BOL000099,ZIM,CEVA Logistics,Indigo Books,Chemicals,40GP,5,Shenzhen,New York,FOB,2022-07-30,2022-08-20,2022-08-20,21,0,Yes,None,2462.48,12312.4,84035.56,417212.89,Delivered
BOL000100,CMA CGM,DB Schenker,Sobeys,Electronics,20GP,6,Hong Kong,Los Angeles,EXW,2024-03-22,2024-04-28,2024-04-28,37,0,Yes,None,1630.79,9784.74,73978.51,58550.73,Delivered
BOL000101,Yang Ming,DSV,IKEA Canada,Apparel,20GP,1,Kaohsiung,Montreal,EXW,2024-08-18,2024-09-29,2024-09-29,42,0,Yes,None,1746.92,1746.92,24204.15,278914.08,Delivered
BOL000102,COSCO,DSV,Loblaw Companies,Steel Products,20RF,8,Colombo,Toronto,CIF,2022-09-07,2022-09-24,2022-09-24,17,0,Yes,None,1032.39,8259.12,193950.54,254916.32,Delivered
BOL000103,COSCO,CEVA Logistics,Metro Inc,Textiles,20RF,7,Hong Kong,Vancouver,CFR,2024-05-29,2024-06-12,2024-06-12,14,0,Yes,None,1493.06,10451.42,142582.6,266507.43,Delivered
BOL000104,HMM,Panalpina,Canadian Tire,Chemicals,40HC,5,Busan,Vancouver,CIF,2024-03-10,2024-04-23,2024-04-23,44,0,Yes,None,3565.07,17825.35,66065.8,43104.18,Delivered
BOL000105,Hapag-Lloyd,CEVA Logistics,Costco Canada,Auto Parts,45HC,8,Hamburg,Toronto,FOB,2023-11-25,2023-12-20,2023-12-20,25,0,Yes,None,3137.42,25099.36,189315.57,40919.26,Delivered
BOL000106,ONE,Sinotrans,Mountain Equipment,Machinery,20RF,8,Hong Kong,Toronto,FOB,2023-10-09,2023-11-11,2023-11-11,33,0,Yes,None,1737.26,13898.08,178605.53,103640.68,Delivered
BOL000107,Yang Ming,DB Schenker,Aldo Group,Apparel,40GP,8,Singapore,Vancouver,DAP,2024-03-30,2024-05-11,2024-05-26,42,15,No,Bad Weather,3360.65,26885.2,107591.83,400672.53,Delayed
BOL000108,ZIM,Sinotrans,Mountain Equipment,Electronics,40RF,5,Hamburg,Houston,DDP,2023-08-25,2023-09-28,2023-09-28,34,0,Yes,None,1934.03,9670.15,94301.49,218796.88,Delivered
BOL000109,HMM,Kuehne+Nagel,Loblaw Companies,Toys,45HC,6,Shanghai,Los Angeles,FOB,2023-07-17,2023-08-03,2023-08-03,17,0,Yes,None,2698.42,16190.52,133485.92,88393.5,Delivered
BOL000110,MSC,Panalpina,Metro Inc,Steel Products,20RF,1,Hong Kong,Seattle,CIF,2023-04-29,2023-06-05,2023-06-05,37,0,Yes,None,3038.85,3038.85,20618.43,474923.53,Delivered
BOL000111,Hapag-Lloyd,Expeditors,Giant Tiger,Machinery,20GP,1,Colombo,Vancouver,DDP,2024-03-26,2024-04-29,2024-04-29,34,0,Yes,None,3522.0,3522.0,16478.01,199623.82,Delivered
BOL000112,MSC,DSV,Empire Company,Textiles,20GP,8,Hong Kong,Houston,CFR,2023-08-08,2023-09-22,2023-09-22,45,0,Yes,None,1438.83,11510.64,171260.06,498658.58,Delivered
BOL000113,ONE,Nippon Express,Mountain Equipment,Textiles,40GP,2,Hamburg,Toronto,CFR,2022-11-19,2022-12-14,2022-12-14,25,0,Yes,None,4444.99,8889.98,46435.02,126000.73,Delivered
BOL000114,ONE,Panalpina,Giant Tiger,Apparel,40RF,8,Shenzhen,Los Angeles,DAP,2022-09-23,2022-10-12,2022-10-12,19,0,Yes,None,2745.07,21960.56,181526.28,413436.31,Delivered
BOL000115,Evergreen,Kuehne+Nagel,Empire Company,Chemicals,20RF,1,Ningbo,Houston,CFR,2022-09-20,2022-10-15,2022-10-28,25,13,No,Equipment Shortage,3876.15,3876.15,16916.35,159021.03,Delayed
BOL000116,CMA CGM,Panalpina,Aldo Group,Furniture,40GP,5,Kaohsiung,Halifax,DDP,2023-05-29,2023-06-24,2023-07-05,26,11,No,Bad Weather,3073.38,15366.9,35744.27,324083.84,Delayed
BOL000117,ZIM,Nippon Express,Empire Company,Textiles,40RF,10,Kaohsiung,Toronto,EXW,2022-03-26,2022-04-10,2022-04-10,15,0,Yes,None,1779.23,17792.3,98485.93,290347.23,Delivered
BOL000118,CMA CGM,Panalpina,Shoppers Drug Mart,Chemicals,40RF,1,Hong Kong,Halifax,DDP,2023-05-17,2023-06-25,2023-06-25,39,0,Yes,None,1384.9,1384.9,14559.3,237576.66,Delivered
BOL000119,MSC,Sinotrans,Sport Chek,Electronics,20RF,2,Busan,Los Angeles,EXW,2024-03-27,2024-04-18,2024-04-18,22,0,Yes,None,1980.73,3961.46,31457.74,141061.12,Delivered
BOL000120,Hapag-Lloyd,Sinotrans,Home Depot Canada,Toys,20RF,6,Hamburg,Seattle,FOB,2023-05-24,2023-06-17,2023-06-17,24,0,Yes,None,1502.39,9014.34,51989.25,498025.01,Delivered
BOL000121,COSCO,DB Schenker,Indigo Books,Electronics,40HC,1,Hamburg,Chicago,FOB,2024-11-01,2024-12-14,2024-12-14,43,0,Yes,None,987.0,987.0,16382.57,442346.34,Delivered
BOL000122,Yang Ming,DSV,Reitmans,Textiles,20GP,7,Singapore,Vancouver,DAP,2023-06-26,2023-08-02,2023-08-02,37,0,Yes,None,989.28,6924.96,125452.52,187636.65,Delivered
BOL000123,COSCO,DB Schenker,Canadian Tire,Electronics,40HC,9,Colombo,Miami,FOB,2022-09-01,2022-09-23,2022-09-23,22,0,Yes,None,4274.11,38466.99,201277.79,107538.36,Delivered
BOL000124,Hapag-Lloyd,Nippon Express,Metro Inc,Steel Products,20RF,9,Rotterdam,Halifax,EXW,2023-11-14,2023-12-28,2023-12-28,44,0,Yes,None,1317.19,11854.71,237793.33,166079.72,Delivered
BOL000125,ZIM,Expeditors,Groupe Touchette,Machinery,40HC,2,Shanghai,Halifax,DDP,2023-09-06,2023-10-20,2023-10-20,44,0,Yes,None,4425.62,8851.24,36850.3,400409.86,Delivered
